Role,count
AI ML Specialist,1142
API Specialist,618
Database Administrator,616
Networking Engineer,613
Information Security Specialist,605
Business Analyst,605
Software Developer,603
Application Support Engineer,602
Hardware Engineer,600
Technical Writer,599
Graphics Designer,599
Customer Service Executive,598
Project Manager,596
Software tester,595
Helpdesk Engineer,595
Cyber Security Specialist,593
